"year","month","anomaly"
1880,5,-0.244
1881,5,-0.03
1882,5,-0.372
1883,5,-0.256
1884,5,-0.396
1885,5,-0.518
1886,5,-0.188
1887,5,-0.355
1888,5,-0.347
1889,5,-0.08
1890,5,-0.417
1891,5,-0.199
1892,5,-0.403
1893,5,-0.559
1894,5,-0.421
1895,5,-0.415
1896,5,-0.205
1897,5,-0.031
1898,5,-0.474
1899,5,-0.316
1900,5,-0.273
1901,5,-0.196
1902,5,-0.401
1903,5,-0.463
1904,5,-0.527
1905,5,-0.344
1906,5,-0.329
1907,5,-0.555
1908,5,-0.474
1909,5,-0.586
1910,5,-0.466
1911,5,-0.6
1912,5,-0.375
1913,5,-0.513
1914,5,-0.282
1915,5,-0.196
1916,5,-0.351
1917,5,-0.662
1918,5,-0.426
1919,5,-0.255
1920,5,-0.2
1921,5,-0.203
1922,5,-0.371
1923,5,-0.319
1924,5,-0.245
1925,5,-0.256
1926,5,-0.217
1927,5,-0.257
1928,5,-0.281
1929,5,-0.391
1930,5,-0.201
1931,5,-0.166
1932,5,-0.169
1933,5,-0.213
1934,5,-0.082
1935,5,-0.245
1936,5,-0.16
1937,5,-0.083
1938,5,-0.092
1939,5,-0.031
1940,5,0.019
1941,5,-0.022
1942,5,-0.019
1943,5,-0.018
1944,5,0.057
1945,5,-0.108
1946,5,-0.11
1947,5,-0.057
1948,5,0.101
1949,5,-0.053
1950,5,-0.094
1951,5,-0.015
1952,5,0.036
1953,5,0.138
1954,5,-0.205
1955,5,-0.232
1956,5,-0.28
1957,5,0.049
1958,5,0.032
1959,5,-0.01
1960,5,-0.156
1961,5,0.092
1962,5,-0.047
1963,5,-0.022
1964,5,-0.177
1965,5,-0.162
1966,5,-0.138
1967,5,0.076
1968,5,-0.218
1969,5,0.132
1970,5,-0.036
1971,5,-0.214
1972,5,-0.065
1973,5,0.085
1974,5,-0.196
1975,5,-0.086
1976,5,-0.317
1977,5,0.072
1978,5,-0.085
1979,5,-0.033
1980,5,0.142
1981,5,0.066
1982,5,0.04
1983,5,0.137
1984,5,0.092
1985,5,-0.003
1986,5,0.045
1987,5,0.148
1988,5,0.211
1989,5,0.079
1990,5,0.278
1991,5,0.303
1992,5,0.173
1993,5,0.178
1994,5,0.268
1995,5,0.218
1996,5,0.224
1997,5,0.286
1998,5,0.582
1999,5,0.245
2000,5,0.279
2001,5,0.418
2002,5,0.427
2003,5,0.473
2004,5,0.311
2005,5,0.518
2006,5,0.405
2007,5,0.448
2008,5,0.34
2009,5,0.441
2010,5,0.592
2011,5,0.393
2012,5,0.573
2013,5,0.525
2014,5,0.608
2015,5,0.711
2017,5,0.659
2018,5,0.587
2019,5,0.61
2020,5,0.714
2021,5,0.627
1850,6,-0.213
1851,6,-0.197
1852,6,-0.04
1853,6,-0.175
1854,6,-0.219
1855,6,-0.167
1856,6,-0.291
1857,6,-0.31
1858,6,-0.582
1859,6,-0.248
1860,6,-0.309
1861,6,-0.189
1862,6,-0.336
1863,6,-0.402
1864,6,-0.165
1865,6,-0.285
1866,6,0.098
1867,6,-0.304
1868,6,-0.178
1869,6,-0.376
1870,6,-0.216
1871,6,-0.222
1872,6,-0.205
1873,6,-0.257
1874,6,-0.457
1875,6,-0.233
1876,6,-0.282
1877,6,-0.092
1878,6,0.019
